Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value             : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 : 0.317443333207311 :   1.5 : False : False : NonNegativeReals
    ('R1', 'R_small') :   0.1 : 0.897709684728278 :     1 : False : False : NonNegativeReals
    ('R2', 'R_large') :  0.15 : 1.388888888888889 :   1.5 : False : False : NonNegativeReals
    ('R2', 'R_small') :   0.1 : 0.100002572486052 :     1 : False : False : NonNegativeReals
    ('R3', 'R_large') :  0.15 : 1.401046590793599 :   1.5 : False : False : NonNegativeReals
    ('R3', 'R_small') :   0.1 : 0.265620075873068 :     1 : False : False : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=183, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :               1.0 :   1.0 : False : False : NonNegativeReals
    (2.496742, 'D') :   0.0 : 1.894339042022508 :   1.9 : False : False : NonNegativeReals
        (2.55, 'B') :  0.05 :  0.05236591675664 :   1.0 : False : False : NonNegativeReals
        (2.55, 'C') :  0.05 :  0.05236591675664 :   1.0 : False : False : NonNegativeReals
        (2.55, 'D') :   0.0 : 1.895268166486653 :   1.9 : False : False : NonNegativeReals
    (2.573258, 'B') :  0.05 : 0.052183054901266 :   1.0 : False : False : NonNegativeReals
    (2.573258, 'C') :  0.05 : 0.052183054901266 :   1.0 : False : False : NonNegativeReals
    (2.573258, 'D') :   0.0 : 1.895633890197401 :   1.9 : False : False : NonNegativeReals
    (2.646742, 'B') :  0.05 :  0.05167332759767 :   1.0 : False : False : NonNegativeReals
    (2.646742, 'C') :  0.05 :  0.05167332759767 :   1.0 : False : False : NonNegativeReals
    (2.646742, 'D') :   0.0 : 1.896653344804591 :   1.9 : False : False : NonNegativeReals
         (2.7, 'B') :  0.05 : 0.051355993980155 :   1.0 : False : False : NonNegativeReals
         (2.7, 'C') :  0.05 : 0.051355993980155 :   1.0 : False : False : NonNegativeReals
         (2.7, 'D') :   0.0 :  1.89728801203962 :   1.9 : False : False : NonNegativeReals
    (2.723258, 'B') :  0.05 : 0.051227862570024 :   1.0 : False : False : NonNegativeReals
    (2.723258, 'C') :  0.05 : 0.051227862570024 :   1.0 : False : False : NonNegativeReals
    (2.723258, 'D') :   0.0 : 1.897544274859882 :   1.9 : False : False : NonNegativeReals
    (2.796742, 'B') :  0.05 : 0.050853181124758 :   1.0 : False : False : NonNegativeReals
    (2.796742, 'C') :  0.05 : 0.050853181124758 :   1.0 : False : False : NonNegativeReals
    (2.796742, 'D') :   0.0 : 1.898293637750412 :   1.9 : False : False : NonNegativeReals
        (2.85, 'B') :  0.05 : 0.050606514058756 :   1.0 : False : False : NonNegativeReals
        (2.85, 'C') :  0.05 : 0.050606514058756 :   1.0 : False : False : NonNegativeReals
        (2.85, 'D') :   0.0 : 1.898786971882414 :   1.9 : False : False : NonNegativeReals
    (2.873258, 'B') :  0.05 : 0.050504463763108 :   1.0 : False : False : NonNegativeReals
    (2.873258, 'C') :  0.05 : 0.050504463763108 :   1.0 : False : False : NonNegativeReals
    (2.873258, 'D') :   0.0 : 1.898991072473726 :   1.9 : False : False : NonNegativeReals
    (2.946742, 'B') :  0.05 : 0.050202092991042 :   1.0 : False : False : NonNegativeReals
    (2.946742, 'C') :  0.05 : 0.050202092991042 :   1.0 : False : False : NonNegativeReals
    (2.946742, 'D') :   0.0 :  1.89959581401781 :   1.9 : False : False : NonNegativeReals
           (3, 'B') :  0.05 :              0.05 :   1.0 : False : False : NonNegativeReals
           (3, 'C') :  0.05 :              0.05 :   1.0 : False : False : NonNegativeReals
           (3, 'D') :   0.0 :               1.9 :   1.9 : False : False : NonNegativeReals

TRvar_(R1,R_large) : Reactor temperatrue profile [K]
    Size=61, Index='N_[R1,R_large]'
    Key      : Lower : Value             : Upper : Fixed : Stale : Domain
           0 :   300 :             300.0 :   370 : False : False : NonNegativeReals
    0.023258 :   300 : 300.8917298422691 :   370 : False : False : NonNegativeReals
    0.096742 :   300 : 305.9723497587427 :   370 : False : False : NonNegativeReals
        0.15 :   300 : 310.0641178647715 :   370 : False : False : NonNegativeReals
    0.173258 :   300 : 311.8011029906655 :   370 : False : False : NonNegativeReals
    0.246742 :   300 : 316.2651006781221 :   370 : False : False : NonNegativeReals
         0.3 :   300 : 319.9801085022351 :   370 : False : False : NonNegativeReals
    0.323258 :   300 : 322.1141272599362 :   370 : False : False : NonNegativeReals
    0.396742 :   300 : 328.8473846504865 :   370 : False : False : NonNegativeReals
        0.45 :   300 : 333.2956570642231 :   370 : False : False : NonNegativeReals
    0.473258 :   300 : 335.0483423406623 :   370 : False : False : NonNegativeReals
    0.546742 :   300 : 340.1271647347388 :   370 : False : False : NonNegativeReals
         0.6 :   300 : 343.2959245087556 :   370 : False : False : NonNegativeReals
    0.623258 :   300 : 344.5261564635604 :   370 : False : False : NonNegativeReals
    0.696742 :   300 :   348.01143769482 :   370 : False : False : NonNegativeReals
        0.75 :   300 : 350.2223972173992 :   370 : False : False : NonNegativeReals
    0.773258 :   300 : 351.1069237361413 :   370 : False : False : NonNegativeReals
    0.846742 :   300 : 353.7112544251713 :   370 : False : False : NonNegativeReals
         0.9 :   300 : 355.3109457666139 :   370 : False : False : NonNegativeReals
    0.923258 :   300 : 355.9055360083958 :   370 : False : False : NonNegativeReals
    0.996742 :   300 : 357.5779154667397 :   370 : False : False : NonNegativeReals
        1.05 :   300 : 358.6486018041571 :   370 : False : False : NonNegativeReals
    1.073258 :   300 : 359.0786037821837 :   370 : False : False : NonNegativeReals
    1.146742 :   300 : 360.3873234456472 :   370 : False : False : NonNegativeReals
         1.2 :   300 : 361.1829342212154 :   370 : False : False : NonNegativeReals
