rho_minus : Fraction of material in state k consumed by task i 
    Size=1125, Index=rho_minus_index
    Key              : Lower : Value             : Upper : Fixed : Stale : Domain
    ('T2', 'S4', 20) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 21) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 22) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 23) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 24) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S5', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
