X : 1 if unit j processes task i starting at time t
    Size=3955, Index=X_index
    Key                       : Lower : Value : Upper : Fixed : Stale : Domain
       ('Mix', 'R_large', 57) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 58) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 59) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 60) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 61) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 62) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 63) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 64) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 65) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 66) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 67) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 68) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 69) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 70) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 71) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 72) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 73) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 74) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 75) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 76) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 77) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 78) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 79) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 80) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 81) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 82) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 83) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 84) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 85) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 86) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 87) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 88) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 89) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 90) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 91) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 92) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 93) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 94) :     0 :     0 :     1 : False : False : Binary
